t,angII,angII_norm,diacid,ang17,at1r,at2r,ACE2,IR
4.37,22.4935753718258,107.10207035098061,0.0,220.4430279776316,429.2354102698808,162.8107142181635,6.490324486600981,46.830256060176744
4.372,22.49357698993524,107.10207805553038,0.0,220.443060317577,429.2354424035599,162.81072640659667,6.490325278936857,46.8329757430674
4.374,22.493578586011132,107.1020856551685,0.0,220.44309222094478,429.23547410031387,162.81073842930238,6.490326060381777,46.83569109800285
4.376,22.493580159729802,107.10209314835377,0.0,220.44312368126518,429.2355053537222,162.81075028384524,6.49032683077438,46.83840212972563
4.378,22.493581710766033,107.10210053353771,0.0,220.44315469203724,429.23553615733323,162.8107619677782,6.490327589952526,46.84110884294014
4.38,22.493583238793025,107.10210780916427,0.0,220.4431852467286,429.23556650466446,162.81077347864237,6.490328337753295,46.84381124231272
4.382000000000001,22.49358474348244,107.10211497367008,0.0,220.44321533877584,429.2355963892021,162.8107848139671,6.490329074012996,46.846509332471506
4.384,22.493586224504334,107.10212202548415,0.0,220.44324496158416,429.2356258044016,162.81079597126995,6.490329798567161,46.84920311800659
4.386,22.493587681527227,107.10212896302811,0.0,220.44327410852767,429.2356547436872,162.81080694805672,6.490330511250544,46.851892603469935
4.388,22.49358911421808,107.10213578471625,0.0,220.4433027729491,429.23568320045194,162.81081774182138,6.490331211897124,46.85457779337537
4.39,22.49359052224226,107.10214248895524,0.0,220.4433309481599,429.2357111680582,162.81082835004625,6.490331900340103,46.85725869219861
4.392,22.493591905263596,107.10214907414439,0.0,220.44335862744057,429.2357386398368,162.81083877020174,6.490332576411911,46.859935304377316
4.394,22.493593262944337,107.10215553867553,0.0,220.44338580404002,429.235765609088,162.81084899974653,6.490333239944192,46.862607634310926
4.396,22.493594594945176,107.10216188093304,0.0,220.44341247117615,429.23579206908073,162.81085903612754,6.490333890767825,46.86527568636083
4.398000000000001,22.49359590092524,107.10216809929389,0.0,220.44343862203553,429.23581801305306,162.8108688767799,6.49033452871291,46.867939464850316
4.4,22.49359718054207,107.1021741921275,0.0,220.44346424977346,429.2358434342117,162.8108785191269,6.490335153608763,46.87059897406451
4.402,22.49359843345168,107.10218015779598,0.0,220.44348934751412,429.2358683257326,162.81088796058023,6.490335765283933,46.873254218250466
4.404,22.493599659308487,107.10218599465382,0.0,220.44351390835035,429.23589268076057,162.8108971985396,6.490336363566191,46.875905201617094
4.406,22.49360085776536,107.10219170104823,0.0,220.44353792534378,429.2359164924094,162.81090623039304,6.490336948282526,46.87855192833521
4.408,22.493602028473607,107.10219727531884,0.0,220.4435613915247,429.23593975376167,162.81091505351685,6.49033751925916,46.88119440253749
4.41,22.49360317108293,107.10220271579784,0.0,220.44358429989236,429.2359624578692,162.8109236652754,6.4903380763215335,46.88383262831851
4.412,22.493604285241528,107.10220802081008,0.0,220.44360664341468,429.2359845977526,162.81093206302145,6.4903386192943096,46.88646660973474
4.414000000000001,22.493605370595997,107.10221318867286,0.0,220.4436284150283,429.2360061664011,162.81094024409592,6.490339148001378,46.88909635080451
4.416,22.493606426791374,107.102218217696,0.0,220.44364960763858,429.23602715677356,162.81094820582788,6.490339662265852,46.89172185550806
4.418,22.49360745347113,107.10222310618198,0.0,220.44367021411978,429.2360475617975,162.81095594553474,6.490340161910067,46.894343127787515
4.42,22.493608450277186,107.10222785242576,0.0,220.44369022731485,429.23606737436893,162.81096346052206,6.490340646755584,46.89696017154685
4.422,22.493609416849868,107.1022324547148,0.0,220.44370964003548,429.2360865873536,162.81097074808363,6.4903411166231875,46.89957299065197
4.424,22.493610352827968,107.10223691132921,0.0,220.44372844506222,429.23610519358556,162.81097780550147,6.490341571332887,46.90218158893063
4.426,22.493611257848695,107.1022412205416,0.0,220.44374663514418,429.2361231858683,162.81098463004588,6.490342010703912,46.9047859701725
4.428,22.493612131547692,107.10224538061708,0.0,220.44376420299943,429.23614055697374,162.81099121897526,6.490342434554719,46.907386138129105
4.430000000000001,22.493612973559056,107.10224938981344,0.0,220.44378114131464,429.2361572996433,162.81099756953637,6.490342842702989,46.909982096513886
4.432,22.493613783515297,107.10225324638087,0.0,220.4437974427454,429.23617340658717,162.81100367896408,6.490343234965626,46.912573849002136
4.434,22.493614561047377,107.10225694856223,0.0,220.44381309991593,429.236188870484,162.81100954448155,6.490343611158755,46.915161399231046
4.436,22.493615305784676,107.10226049459281,0.0,220.4438281054193,429.2362036839822,162.81101516330017,6.490343971097728,46.91774475079971
4.438,22.49361601735502,107.10226388270058,0.0,220.4438424518173,429.2362178396985,162.8110205326195,6.490344314597121,46.9203239072691
4.44,22.49361669538467,107.10226711110596,0.0,220.44385613164044,429.2362313302188,162.8110256496273,6.490344641470732,46.922898872162044
4.442,22.493617339498318,107.1022701780219,0.0,220.44386913738805,429.23624414809836,162.81103051149964,6.4903449515315845,46.925469648963286
4.444,22.493617949319102,107.10227308165405,0.0,220.4438814615282,429.2362562858605,162.81103511540087,6.490345244591926,46.92803624111945
