t,angI,Inhibition,Renin,AGT,angII,angII_norm,diacid,ang17,at1r,at2r,ACE2,IR
3.8480000000000003,356319113.7580526,94.71359953405091,6546.0724844042525,894037493133694.4,1.2123822547790182,5.772699421820867,40.58205893498062,116.16524735926909,22.64002589547263,8.69432477072141,0.32012131887609274,21.295144490160887
3.85,356318913.2038854,94.70538852599381,6537.095274359683,894037516244379.0,1.2142630049503749,5.781654522725704,40.51493995790643,116.16601295163456,22.67515627935719,8.707815699054215,0.3206162315910477,21.296338224590578
3.8520000000000003,356318712.28402406,94.69716547838362,6528.093531577289,894037539212595.8,1.2161465417054529,5.790622891814049,40.447931989420795,116.16678095139888,22.710338071009023,8.721326369229462,0.3211118596814316,21.29753038053064
3.8539999999999996,356318510.9988709,94.68893037578653,6519.067199196472,894037562039668.4,1.2180328693195763,5.79960454944265,40.3810348459258,116.16755136287361,22.745571335299378,8.734856806159305,0.32160820050236094,21.298720974241824
3.856,356318309.3488282,94.68068320275586,6510.0162203566315,894037584726918.6,1.219921992068071,5.808599515968262,40.314248344127094,116.16832419037019,22.780856137099533,8.748407034755894,0.3221052514089526,21.299910021984875
3.858,356318107.3342986,94.67242394383204,6500.940538197171,894037607275669.6,1.22181391422626,5.817607811747631,40.24757230103356,116.1690994382001,22.816192541280714,8.761977079931377,0.3226030097563229,21.301097540020542
3.86,356317904.9131411,94.66415258354274,6491.83838693174,894037629637440.6,1.223708468087223,5.826628638252373,40.181006533956705,116.16987741660078,22.851580639732166,8.775566976973531,0.32310185359420546,21.30228318147519
3.862,356317701.96816254,94.65586910640272,6482.704985930636,894037651675890.2,1.2256051825373355,5.83565975229777,40.11455086051017,116.1706589755163,22.88702057200751,8.789176779474538,0.3236028325840956,21.30346595884275
3.8640000000000003,356317498.64957345,94.64757349691395,6473.546296057721,894037673567714.9,1.2275046674614767,5.8447040578211515,40.048205098609266,116.17144304198621,22.922512307838296,8.802806475810353,0.32410460352239556,21.304647167106957
3.866,356317294.9576013,94.63926573956562,6464.3622534364595,894037695314032.5,1.2294069264289047,5.853761571817366,39.98196906647046,116.172229621578,22.958055912206703,8.816456090935727,0.32460716532715095,21.305826821037723
3.8680000000000003,356317090.89247406,94.63094581883412,6455.152794190317,894037716915962.0,1.2313119630088756,5.862832311281258,39.91584258261085,116.17301871985909,22.993651450094895,8.830125649805405,0.32511051691640747,21.307004935404958
3.8699999999999997,356316886.4544194,94.62261371918302,6445.91785444276,894037738374621.1,1.233219780770646,5.871916293207667,39.84982546584771,116.17381034239695,23.029298986485035,8.84381517737413,0.3256146572082107,21.308181524978583
3.872,356316681.6436647,94.61426942506318,6436.657370317248,894037759691128.1,1.2351303832834746,5.881013534591446,39.78391753529795,116.17460449475912,23.064998586359327,8.857524698596663,0.32611958512060646,21.3093566045285
3.874,356316476.46043795,94.60591292091271,6427.371277937245,894037780866601.1,1.2370437741166178,5.890124052427437,39.718118610377665,116.17540118251299,23.100750314699926,8.871254238427737,0.3266252995716404,21.310530188824625
3.876,356316270.9049668,94.59754419115693,6418.059513426216,894037801902158.5,1.238959956839332,5.899247863710481,39.6524285108016,116.17620041122602,23.136554236489005,8.885003821822108,0.3271317994793581,21.31170229263687
3.878,356316064.97747874,94.58916322020842,6408.722012907623,894037822798918.4,1.2408789350208744,5.908384985435425,39.586847056582705,116.17700218646571,23.172410416708747,8.898773473734517,0.3276390837618053,21.312872930735146
3.8800000000000003,356315858.6782017,94.58076999246717,6399.3587125049335,894037843557998.9,1.2428007122305023,5.917535434597112,39.52137406803159,116.17780651379952,23.208318920341323,8.912563219119715,0.3281471513370276,21.314042117889365
3.882,356315652.0073632,94.57236449232035,6389.969548341609,894037864180518.0,1.244725292037473,5.926699228190389,39.456009365756046,116.17861339879494,23.244279812368895,8.926373082932447,0.32865600112307075,21.315209868869438
3.8840000000000003,356315444.965191,94.56394670414251,6380.554456541113,894037884667594.4,1.246652678011043,5.9358763832101005,39.390752770660605,116.17942284701937,23.280293157773652,8.940203090127463,0.3291656320379803,21.316376198445283
3.8859999999999997,356315237.5519128,94.55551661229543,6371.1133732269145,894037905020345.9,1.2485828737204685,5.9450669166510846,39.325604103945956,116.18023486404033,23.31635902153775,8.954053265659503,0.32967604299980185,21.3175411213868
3.888,356315029.76775634,94.54707420112838,6361.646234522469,894037925239890.8,1.250515882735009,5.954270845508197,39.260563187108524,116.18104945542522,23.352477468643382,8.967923634483322,0.3301872329265814,21.318704652463914
3.89,356314821.61294913,94.53861945497788,6352.152976551244,894037945327347.2,1.2524517086239195,5.9634881867762735,39.19562984193997,116.1818666267416,23.388648564072717,8.981814221553666,0.3306992007363644,21.319866806446523
3.892,356314613.08771896,94.53015235816784,6342.633535436704,894037965283833.6,1.2543903549564575,5.972718957450162,39.13080389052667,116.18268638355686,23.42487237280792,8.995725051825278,0.3312119453471965,21.321027598104553
3.894,356314404.19229347,94.52167289500953,6333.087847302313,894037985110467.9,1.2563318253018803,5.981963174524709,39.06608515524931,116.1835087314385,23.46114895983118,9.009656150252912,0.33172546567712335,21.322187042207908
3.8960000000000004,356314194.92690045,94.5131810498017,6323.515848271532,894038004808368.5,1.2582761232294448,5.991220854994756,39.001473458782286,116.18433367595395,23.49747839012465,9.02360754179131,0.33223976064419075,21.3233451535265
3.898,356313985.29176754,94.50467680683043,6313.91747446783,894038024378653.4,1.260223252308408,6.000492015855148,38.93696862409328,116.18516122267071,23.533860728670522,9.03757925139522,0.3327548291664443,21.324501946830242
3.9000000000000004,356313775.2871223,94.49616015036923,6304.292662014667,894038043822440.8,1.2621732161080268,6.00977667410073,38.872570474442796,116.18599137715626,23.570296040450962,9.051571304019392,0.33327067016192957,21.325657436889045
3.9019999999999997,356313564.9131926,94.48763106467909,6294.641347035512,894038063140849.0,1.2641260181975578,6.019074846726344,38.80827883338365,116.186824144978,23.60678439044813,9.06558372461856,0.33378728254869217,21.326811638472826
3.904,356313354.170206,94.47908953400844,6284.963465653819,894038082334996.2,1.2660816621462592,6.02838655072684,38.74409352476044,116.18765953170346,23.64332584364423,9.079616538147492,0.3343046652447781,21.32796456635149
3.906,356313143.0583904,94.47053554259315,6275.258953993058,894038101406000.4,1.2680401515233877,6.03771180309706,38.680014372709145,116.18849754290007,23.67992046502142,9.09366976956092,0.33482281716823276,21.32911623529495
3.908,356312931.5779731,94.46196907465664,6265.527748176694,894038120354979.9,1.2700014898981995,6.047050620831848,38.61604120165661,116.18933818413531,23.716568319561876,9.1077434438136,0.335341737237102,21.33026666007312
3.91,356312719.72918206,94.45339011440969,6255.7697843281885,894038139183053.0,1.2719656808399524,6.056403020926049,38.55217383632003,116.19018146097663,23.753269472247766,9.121837585860275,0.3358614243694312,21.331415855455912
3.9120000000000004,356312507.5122451,94.44479864605077,6245.984998571006,894038157891337.6,1.273932727917903,6.065769020374505,38.48841210170656,116.19102737899149,23.790023988061275,9.13595222065569,0.3363818774832663,21.33256383621324
3.914,356312294.92738956,94.43619465376577,6236.173327028611,894038176480952.6,1.275902634701309,6.075148636172067,38.424755823112704,116.1918759437474,23.82683193198456,9.150087373154596,0.33690309549665287,21.33371061711501
3.9160000000000004,356312081.97484326,94.42757812172812,6226.334705824467,894038194953015.2,1.2778754047594265,6.084541885313575,38.36120482612398,116.1927271608118,23.863693368999808,9.164243068311738,0.33742507732763655,21.334856212931136
3.9179999999999997,356311868.654834,94.41894903409884,6216.469071082039,894038213308644.4,1.2798510416615125,6.093948784793868,38.29775893661433,116.1935810357521,23.90060836408917,9.17841933108186,0.337947821894263,21.336000638431532
3.92,356311654.9675893,94.41030737502655,6206.576358924787,894038231548958.0,1.281829548976825,6.103369351607802,38.23441798074566,116.19443757413583,23.93757698223486,9.192616186419718,0.3384713281145779,21.33714390838611
3.922,356311440.91333705,94.40165312864737,6196.6565054761795,894038249675074.1,1.283810930274621,6.112803602750218,38.17118178496745,116.19529678153046,23.97459928841903,9.206833659280054,0.33899559490662695,21.33828603756478
3.924,356311226.4923046,94.3929862790851,6186.709446859674,894038267688111.2,1.2857951891241564,6.122251555215956,38.108050176016185,116.19615866350343,24.01167534762385,9.221071774617617,0.33952062118845583,21.33942704073745
3.926,356311011.7047201,94.38430681045115,6176.735119198742,894038285589187.1,1.287782329094689,6.131713225999864,38.0450229809149,116.19702322562217,24.0488052248315,9.23533055738715,0.3400464058781102,21.340566932674044
3.9280000000000004,356310796.5508109,94.37561470684452,6166.733458616842,894038303379420.5,1.2897723537554762,6.141188632096788,37.98210002697275,116.19789047345424,24.085988985024148,9.249610032543403,0.3405729478936357,21.34170572814446
3.93,356310581.0308047,94.3669099523519,6156.704401237441,894038321059929.1,1.2917652666757746,6.15067779050157,37.91928114178447,116.198760412567,24.12322669318397,9.263910225041123,0.34110024615307794,21.342843441918617
3.932,356310365.1449293,94.35819253104766,6146.647883184004,894038338631831.4,1.29376107142484,6.16018071820905,37.85656615322998,116.199633048528,24.160518414293147,9.278231159835055,0.3416282995744826,21.34398008876643
3.9339999999999997,356310148.89341223,94.34946242699385,6136.563840579989,894038356096245.6,1.2957597715719313,6.169697432214082,37.793954889473795,116.20050838690464,24.197864213333848,9.29257286187995,0.3421571070758954,21.345115683457802
3.936,356309932.27648145,94.34071962424012,6126.452209548863,894038373454290.0,1.2977613706863054,6.1792279495115086,37.731447178964714,116.20138643326443,24.23526415528824,9.306935356130552,0.3426866675753621,21.34625024076265
3.938,356309715.29436445,94.33196410682397,6116.31292621409,894038390707082.2,1.2997658723372183,6.18877228709617,37.669042850435225,116.20226719317483,24.272718305138504,9.321318667541615,0.34321697999092826,21.347383775450886
3.94,356309497.94728893,94.3231958587706,6106.145926699135,894038407855741.1,1.3017732800939275,6.198330461962914,37.606741732901085,116.20315067220328,24.310226727866823,9.335722821067877,0.3437480432406395,21.34851630229242
3.942,356309280.23548263,94.31441486409287,6095.95114712746,894038424901384.2,1.3037835975256906,6.207902491106585,37.54454365566083,116.20403687591724,24.34778948845535,9.350147841664088,0.3442798562425416,21.34964783605717
3.9440000000000004,356309062.15917313,94.30562110679153,6085.72852362253,894038441845130.4,1.3057968282017631,6.217488391522023,37.48244844829535,116.2049258098842,24.38540665188627,9.364593754284998,0.34481241791468015,21.350778391515043
3.946,356308843.7185883,94.29681457085498,6075.477992307809,894038458688097.4,1.3078129756914036,6.227088180204079,37.42045594066737,116.20581747967162,24.423078283141763,9.379060583885353,0.3453457271751008,21.351907983435947
3.948,356308624.91395575,94.28799524025958,6065.199489306762,894038475431403.5,1.309832043563868,6.236701874147592,37.358565962921006,116.20671189084696,24.46080444720398,9.393548355419894,0.3458797829418491,21.353036626589798
